Breast Reconstruction,Radiation Treatment: Consult,Nerve Block,CT scan: Chest,Arthorcentesis,Cardiovascular: Electrophysiology,X-ray: Abdomen/GI,Cardiovascular: Echocardiography,Hysterectomy,Cesarean Section with complications,Colonoscopy,CVC Insertion,Coronary Bypass,Lesion Removal,Radiation Treatment: Delivery,Radiation Treatment: Simulations & Film,Spinal injection,Nuclear Medicine: Musculoskeletal,CT scan: Spine,Mastectomy,X-ray: Chest,Cardiovascular: Catheterization,Carpal Tunnel,Cesarean Section without complications,X-ray: Spine,Blood Transfusion,Ultrasound,Tonsillectomy,X-ray: Head and Neck,Nuclear Medicine: Endocrine,MRI with contrast: Extremities,X-ray: Extremities,Spinal Fusion,MRI: Spine,Hysteroscopy,Spinal laminectomy,Mammography,Nuclear Medicine: GI,Chemotherapy: IV infusion,MRI with contrast: Spine,Central Line,MRI: Head and Neck,Radiation Treatment: Guidance,Radiation Treatment: Dosimetry,Radiation Treatment: Devices,CT scan with contrast: Abdomen/GI,Cataract,Radiation Treatment: IMRT,Spinal Tap,Nuclear Medicine: Cardiovascular,Gallbladder,CT scan: Head and Neck,Hip Replacement,Cardiovascular: Mobile Heart Monitoring,Upper Endoscopy,MRI: Extremities,Cystoscopy Lithotripsy,Hernia Repair,Bone Study,MRI with contrast: Abdomen/GI,Knee Arthroscopy,Thyroidectomy,Bowel Removal,CT scan with contrast: Head and Neck,CT scan: Abdomen/GI,Ultrasound: Obstetrical,Cardiovascular: Electrocardiography Stress Test,CT scan with contrast: Chest,PTCA,Chemotherapy: Injection,Newborn care without complications,Breast Biopsy,CT scan: Extremities,Newborn care with complications,ORIF,Abdominal Drainage,Cardiovascular: Electrocardiography,Knee Replacement,MRI with contrast: Head and Neck,Big Toe Surgery
,,,775.0,1085.0,,251.0,1807.0,11481.0,20596.0,3640.0,7086.0,,,,,1311.0,1152.0,1315.0,13270.0,273.0,11671.0,4469.0,14053.0,310.0,,425.0,4986.0,221.0,908.0,2239.0,258.0,,1767.0,9217.0,,376.0,1409.0,450.0,2355.0,,1622.0,,,,1774.0,4452.0,,,3406.0,13451.0,554.0,40588.0,931.0,3697.0,1396.0,11605.0,9398.0,400.0,2383.0,9855.0,,,1286.0,963.0,470.0,584.0,1439.0,42908.0,,2997.0,3298.0,922.0,4863.0,,1430.0,198.0,42341.0,2329.0,9656.0
,,211.0,403.0,320.0,,39.0,1419.0,14791.0,16067.0,3397.0,,,,,,,663.0,,,50.0,,7871.0,12802.0,71.0,,240.0,,64.0,,,71.0,,731.0,8457.0,,266.0,932.0,,,,892.0,,,,642.0,,,,2242.0,14671.0,298.0,31680.0,1058.0,3626.0,507.0,,10656.0,89.0,,11729.0,,,484.0,350.0,232.0,654.0,487.0,,,2198.0,2121.0,388.0,2325.0,,,202.0,31437.0,1078.0,11100.0
,,,,,,,,28129.0,25287.0,23142.0,,111108.0,,,,,,,,,,,,,,,,,,,,61662.0,,,,,,302.0,,34743.0,,,,,,,,21910.0,,,,46003.0,,22150.0,,,24836.0,,,,,41099.0,,,,,,36720.0,,,,,,33550.0,,,44406.0,,
18993.0,,,292.0,,,58.0,1423.0,13738.0,15595.0,3190.0,,,6118.0,,,,504.0,273.0,,41.0,4521.0,5130.0,15855.0,68.0,,201.0,6886.0,57.0,813.0,850.0,58.0,,351.0,8054.0,,221.0,936.0,,,,356.0,,,,564.0,8147.0,,,1247.0,10905.0,312.0,,426.0,2989.0,386.0,9073.0,8099.0,81.0,847.0,7051.0,,41672.0,601.0,269.0,187.0,283.0,436.0,,,9400.0,3163.0,292.0,3276.0,,,186.0,29406.0,579.0,8083.0
,,1205.0,242.0,693.0,,49.0,1354.0,13069.0,18417.0,1000.0,,,,,,,633.0,242.0,,40.0,,4501.0,13279.0,59.0,,195.0,5253.0,84.0,690.0,709.0,60.0,48098.0,346.0,4900.0,11434.0,167.0,736.0,,721.0,,304.0,,,,492.0,5825.0,,,1120.0,7811.0,239.0,37117.0,362.0,,331.0,,5629.0,69.0,,5459.0,,,502.0,230.0,235.0,321.0,315.0,,,1534.0,3045.0,250.0,3473.0,24340.0,,221.0,37117.0,679.0,5048.0
,,,,,,251.0,870.0,11179.0,,3472.0,,,,,,,,,,256.0,,,,292.0,,509.0,,,,,251.0,,,11439.0,,,,,,,,,,,,,,,,11395.0,,,,3580.0,,,11125.0,,,8439.0,,,,,319.0,,,,,3734.0,,,,32520.0,,220.0,,,
16151.0,469.0,,,,57677.0,410.0,910.0,15670.0,23027.0,3456.0,7937.0,104532.0,3957.0,604.0,602.0,1842.0,,,9638.0,254.0,10813.0,5850.0,16629.0,392.0,26753.0,466.0,5325.0,,,,242.0,67336.0,1902.0,9653.0,12547.0,,,549.0,,31347.0,,673.0,1273.0,918.0,,6641.0,1804.0,20404.0,,9365.0,,33348.0,,3506.0,,13812.0,10633.0,,,8274.0,15210.0,40422.0,,,343.0,895.0,,49495.0,,3020.0,,,3987.0,26930.0,1460.0,205.0,33991.0,3509.0,
,561.0,1247.0,725.0,,,267.0,2054.0,18802.0,20860.0,2707.0,,,,563.0,212.0,,1372.0,,,303.0,13623.0,2000.0,15996.0,375.0,,644.0,7745.0,292.0,,,292.0,,1763.0,6898.0,,300.0,1774.0,749.0,,,2332.0,,1380.0,1027.0,2241.0,,1573.0,,4181.0,15731.0,689.0,42426.0,481.0,2653.0,1763.0,,10699.0,324.0,2928.0,6468.0,,,1553.0,1237.0,561.0,790.0,1676.0,,222.0,2080.0,5034.0,1355.0,3655.0,,,214.0,40009.0,2928.0,
,,,,,,216.0,1780.0,19260.0,,1716.0,,,,,,,,,,162.0,,,,285.0,,424.0,4937.0,,,,163.0,,1716.0,,,277.0,1099.0,622.0,,,,,,,3592.0,,,,4842.0,12360.0,1098.0,,,3083.0,1669.0,,9762.0,339.0,,9430.0,,,,,297.0,,1765.0,,,1773.0,,,,,,260.0,,,
,,,1221.0,,,176.0,1434.0,,,2289.0,,,,,,,,,,205.0,,,,256.0,,348.0,,,,1613.0,178.0,,1682.0,,,419.0,1175.0,,,,1658.0,,,,2365.0,,,,3255.0,12211.0,924.0,,251.0,2606.0,971.0,,8583.0,478.0,,,,,1431.0,2365.0,430.0,,1476.0,,,927.0,,,,,,153.0,,3156.0,
